Phuong,so_tin,gia_m2_tb,cv,diem_on_dinh
Phường Long Biên,60,254807122.76261866,0.30563418538645265,45.95467909124997
Phường Bồ Đề,40,238662413.98221287,0.30925730136816476,30.551672278779947
Phường Thạch Bàn,40,268496892.75882906,0.3683366782955692,29.232571657601763
Phường Việt Hưng,40,220876630.32742327,0.4277014668608029,28.01706163960949
Phường Sài Đồng,15,295388549.9217775,0.24010588892556034,12.095741286251084
Phường Ngọc Thụy,15,264952629.89571503,0.24920569224473182,12.007630203034129
Phường Phúc Lợi,11,233948463.30140448,0.2652689032228007,8.693804117039154
Phường Phúc Đồng,11,284307560.82895124,0.4641628229778447,7.512825641637296
Phường Ngọc Lâm,7,298629786.5364232,0.281478042518992,5.462442404584749
Phường Cự Khối,8,175771905.11427128,0.5624752666580157,5.120081047497942
